,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
0,1,2,2,1,1,2,2,2,2,1,1,1,1
1,1,0,0,1,1,0,0,2,2,1,1,2,2
2,1,1,1,1,1,1,1,3,3,1,1,3,3
3,1,1,1,1,1,1,1,4,4,1,1,4,4
4,1,2,1,3,0,2,1,6,5,3,0,7,4
5,1,1,0,3,0,1,0,7,5,3,0,10,4
6,1,1,0,3,0,1,0,8,5,3,0,13,4
7,1,0,0,1,1,0,0,8,5,1,1,14,5
8,1,3,2,3,0,3,2,11,7,3,0,17,5
9,2,2,3,0,3,2,3,13,10,0,3,17,8
10,2,2,0,3,0,2,0,15,10,3,0,20,8
11,2,1,1,1,1,1,1,16,11,1,1,21,9
12,2,3,0,3,0,3,0,19,11,3,0,24,9
13,2,1,5,0,3,1,5,20,16,0,3,24,12
14,2,2,2,1,1,2,2,22,18,1,1,25,13
15,2,0,3,0,3,0,3,22,21,0,3,25,16
16,2,1,1,1,1,1,1,23,22,1,1,26,17
17,2,5,1,3,0,5,1,28,23,3,0,29,17
18,3,2,2,1,1,4,3,30,25,4,1,30,18
19,3,2,1,3,0,3,2,32,26,4,0,33,18
20,3,1,0,3,0,1,0,33,26,4,0,36,18
21,3,0,2,0,3,2,4,33,28,1,6,36,21
22,3,0,1,0,3,1,1,33,29,3,3,36,24
23,3,2,0,3,0,4,2,35,29,4,1,39,24
24,3,2,0,3,0,3,0,37,29,6,1,42,24
25,3,2,1,3,0,5,3,39,30,6,1,45,24
26,3,1,1,1,1,2,2,40,31,2,2,46,25
27,4,0,0,1,1,2,3,40,31,1,4,47,26
28,4,2,2,1,1,4,2,42,33,4,2,48,27
29,4,0,4,0,3,1,5,42,37,1,3,48,30
30,4,0,3,0,3,1,8,42,40,0,4,48,33
31,4,1,1,1,1,1,1,43,41,2,1,49,34
32,4,1,1,1,1,1,4,44,42,1,2,50,35
33,4,0,3,0,3,1,4,44,45,1,4,50,38
34,4,1,2,0,3,4,2,45,47,3,6,50,41
35,4,3,0,3,0,8,1,48,47,6,0,53,41
36,5,1,1,1,1,3,3,49,48,3,7,54,42
37,5,4,1,3,0,8,3,53,49,7,1,57,42
38,5,1,0,3,0,6,3,54,49,9,3,60,42
39,5,3,1,3,0,4,1,57,50,7,1,63,42
40,5,2,0,3,0,5,0,59,50,9,0,66,42
41,5,1,0,3,0,2,4,60,50,4,1,69,42
42,5,1,2,0,3,4,4,61,52,4,4,69,45
43,5,3,1,3,0,7,4,64,53,7,2,72,45
44,5,0,2,0,3,1,3,64,55,3,7,72,48
45,6,3,0,3,0,4,8,67,55,3,0,75,48
46,6,0,1,0,3,4,3,67,56,4,3,75,51
47,6,2,0,3,0,6,2,69,56,6,2,78,51
48,6,1,1,1,1,2,5,70,57,2,5,79,52
49,6,1,5,0,3,3,8,71,62,1,9,79,55
50,6,2,1,3,0,10,2,73,63,9,2,82,55
51,6,3,0,3,0,4,1,76,63,5,3,85,55
52,6,2,1,3,0,3,6,78,64,4,4,88,55
53,6,3,2,3,0,5,6,81,66,4,1,91,55
54,7,1,0,3,0,3,4,82,66,7,4,94,55
55,7,1,0,3,0,5,4,83,66,7,1,97,55
56,7,1,1,1,1,11,3,84,67,10,2,98,56
57,7,1,1,1,1,9,4,85,68,8,1,99,57
58,7,1,0,3,0,7,3,86,68,12,2,102,57
59,7,4,0,3,0,9,0,90,68,12,3,105,57
60,7,3,0,3,0,10,4,93,68,10,3,108,57
61,7,3,1,3,0,7,2,96,69,10,7,111,57
62,7,1,1,1,1,4,4,97,70,4,8,112,58
63,8,1,0,3,0,5,8,98,70,6,2,115,58
64,8,2,1,3,0,8,3,100,71,9,3,118,58
65,8,2,0,3,0,4,5,102,71,5,1,121,58
66,8,1,1,1,1,4,7,103,72,5,3,122,59
67,8,0,1,0,3,4,2,103,73,5,8,122,62
