,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
0,1,2,2,1,1,2,2,2,2,1,1,1,1
1,1,2,3,0,3,2,3,4,5,0,3,1,4
2,1,0,3,0,3,0,3,4,8,0,3,1,7
3,1,2,1,3,0,2,1,6,9,3,0,4,7
4,1,1,0,3,0,1,0,7,9,3,0,7,7
5,1,3,0,3,0,3,0,10,9,3,0,10,7
6,1,2,2,1,1,2,2,12,11,1,1,11,8
7,1,1,3,0,3,1,3,13,14,0,3,11,11
8,1,0,2,0,3,0,2,13,16,0,3,11,14
9,2,0,0,1,1,0,0,13,16,1,1,12,15
10,2,2,1,3,0,2,1,15,17,3,0,15,15
11,2,0,2,0,3,0,2,15,19,0,3,15,18
12,2,1,1,1,1,1,1,16,20,1,1,16,19
13,2,1,1,1,1,1,1,17,21,1,1,17,20
14,2,1,1,1,1,1,1,18,22,1,1,18,21
15,2,1,0,3,0,1,0,19,22,3,0,21,21
16,2,1,1,1,1,1,1,20,23,1,1,22,22
17,2,2,2,1,1,2,2,22,25,1,1,23,23
18,3,0,2,0,3,1,2,22,27,3,3,23,26
19,3,3,2,3,0,4,5,25,29,3,1,26,26
20,3,2,2,1,1,4,3,27,31,4,2,27,27
21,3,2,4,0,3,4,6,29,35,1,4,27,30
22,3,5,2,3,0,7,5,34,37,3,3,30,30
23,3,1,0,3,0,4,0,35,37,6,0,33,30
24,3,0,1,0,3,0,4,35,38,0,6,33,33
25,3,2,0,3,0,2,2,37,38,3,0,36,33
26,3,4,1,3,0,6,3,41,39,4,3,39,33
27,4,0,0,1,1,1,0,41,39,4,4,40,34
28,4,2,2,1,1,3,3,43,41,2,2,41,35
29,4,3,2,3,0,5,3,46,43,6,3,44,35
30,4,3,3,1,1,4,4,49,46,2,2,45,36
31,4,3,0,3,0,4,1,52,46,4,1,48,36
32,4,0,3,0,3,1,4,52,49,1,4,48,39
33,4,2,0,3,0,4,2,54,49,4,1,51,39
34,4,5,1,3,0,5,1,59,50,4,0,54,39
35,4,2,1,3,0,2,3,61,51,3,0,57,39
36,5,4,0,3,0,11,5,65,51,6,0,60,39
37,5,0,1,0,3,4,6,65,52,3,6,60,42
38,5,1,0,3,0,5,0,66,52,9,2,63,42
39,5,2,0,3,0,6,6,68,52,4,3,66,42
40,5,2,5,0,3,8,8,70,57,4,4,66,45
41,5,1,1,1,1,1,5,71,58,1,1,67,46
42,5,3,1,3,0,5,3,74,59,6,0,70,46
43,5,4,1,3,0,5,1,78,60,7,6,73,46
44,5,3,0,3,0,7,3,81,60,7,4,76,46
45,6,1,0,3,0,2,4,82,60,4,2,79,46
46,6,3,0,3,0,7,4,85,60,5,4,82,46
47,6,0,1,0,3,3,4,85,61,2,4,82,49
48,6,1,0,3,0,6,3,86,61,9,0,85,49
49,6,2,3,0,3,6,5,88,64,4,6,85,52
50,6,5,4,3,0,9,5,93,68,7,3,88,52
51,6,1,0,3,0,6,1,94,68,7,4,91,52
52,6,1,1,1,1,3,4,95,69,4,2,92,53
53,6,2,1,3,0,3,3,97,70,6,2,95,53
54,7,1,2,0,3,7,8,98,72,4,3,95,56
55,7,0,1,0,3,11,6,98,73,6,9,95,59
56,7,3,3,1,1,11,11,101,76,5,2,96,60
57,7,2,1,3,0,7,2,103,77,10,2,99,60
58,7,4,1,3,0,9,4,107,78,9,4,102,60
59,7,1,2,0,3,5,8,108,80,3,6,102,63
60,7,2,2,1,1,7,2,110,82,10,3,103,64
61,7,1,2,0,3,2,7,111,84,1,7,103,67
62,7,1,1,1,1,8,5,112,85,6,1,104,68
63,8,2,2,1,1,8,7,114,87,5,1,105,69
64,8,0,1,0,3,3,4,114,88,6,7,105,72
65,8,2,5,0,3,8,6,116,93,7,6,105,75
66,8,3,3,1,1,12,8,119,96,8,7,106,76
67,8,1,0,3,0,3,4,120,96,7,4,109,76
68,8,2,1,3,0,5,5,122,97,5,4,112,76
69,8,4,1,3,0,11,4,126,98,10,2,115,76
70,8,0,2,0,3,3,6,126,100,4,9,115,79
71,8,1,1,1,1,7,4,127,101,10,3,116,80
72,9,2,0,3,0,13,6,129,101,9,6,119,80
73,9,2,3,0,3,4,10,131,104,1,5,119,83
74,9,4,2,3,0,15,13,135,106,8,3,122,83
75,9,1,0,3,0,6,8,136,106,6,3,125,83
76,9,1,1,1,1,9,7,137,107,8,5,126,84
77,9,0,0,1,1,7,2,137,107,11,3,127,85
78,9,3,0,3,0,10,2,140,107,13,7,130,85
79,9,1,1,1,1,9,6,141,108,7,10,131,86
80,9,2,0,3,0,11,4,143,108,12,2,134,86
81,10,0,2,0,3,12,10,143,110,8,12,134,89
82,10,0,3,0,3,3,7,143,113,6,6,134,92
83,10,3,0,3,0,14,4,146,113,13,1,137,92
84,10,1,1,1,1,8,9,147,114,5,5,138,93
85,10,1,3,0,3,9,10,148,117,5,9,138,96
86,10,1,2,0,3,4,8,149,119,4,10,138,99
87,10,0,1,0,3,3,5,149,120,7,10,138,102
88,10,3,0,3,0,8,5,152,120,8,1,141,102
89,10,2,0,3,0,9,4,154,120,13,4,144,102
90,11,2,0,3,0,15,6,156,120,12,3,147,102
91,11,4,1,3,0,14,3,160,121,16,3,150,102
92,11,1,3,0,3,12,7,161,124,12,9,150,105
93,11,3,0,3,0,12,7,164,124,11,7,153,105
94,11,5,1,3,0,17,11,169,125,11,10,156,105
95,11,0,2,0,3,4,12,169,127,1,9,156,108
96,11,3,1,3,0,18,14,172,128,11,3,159,108
97,11,1,1,1,1,10,7,173,129,8,3,160,109
98,11,1,2,0,3,7,10,174,131,6,8,160,112
99,12,2,1,3,0,5,6,176,132,10,1,163,112
100,12,3,3,1,1,6,10,179,135,7,13,164,113
101,12,3,0,3,0,17,4,182,135,16,5,167,113
102,12,0,2,0,3,8,11,182,137,5,4,167,116
103,12,2,1,3,0,11,5,184,138,16,10,170,116
104,12,0,0,1,1,9,10,184,138,6,6,171,117
105,12,1,0,3,0,9,5,185,138,11,9,174,117
106,12,2,2,1,1,6,10,187,140,5,5,175,118
107,12,1,2,0,3,8,4,188,142,11,13,175,121
108,13,1,1,1,1,13,8,189,143,12,4,176,122
109,13,3,2,3,0,17,5,192,145,19,3,179,122
110,13,4,0,3,0,14,7,196,145,11,8,182,122
111,13,2,1,3,0,17,7,198,146,15,9,185,122
112,13,2,2,1,1,9,12,200,148,7,14,186,123
113,13,2,1,3,0,11,6,202,149,14,7,189,123
114,13,0,0,1,1,12,7,202,149,13,4,190,124
115,13,1,0,3,0,5,12,203,149,4,3,193,124
116,13,3,1,3,0,20,12,206,150,14,9,196,124
117,14,0,1,0,3,6,11,206,151,7,13,196,127
118,14,2,1,3,0,10,12,208,152,8,13,199,127
119,14,4,0,3,0,10,10,212,152,8,1,202,127
120,14,3,1,3,0,11,5,215,153,14,4,205,127
121,14,2,3,0,3,11,13,217,156,6,13,205,130
122,14,4,1,3,0,21,5,221,157,19,5,208,130
123,14,4,1,3,0,22,15,225,158,14,5,211,130
124,14,1,3,0,3,6,9,226,161,10,12,211,133
125,14,2,1,3,0,13,6,228,162,19,6,214,133
126,15,2,1,3,0,13,7,230,163,17,9,217,133
127,15,1,3,0,3,10,15,231,166,7,8,217,136
128,15,3,2,3,0,16,10,234,168,15,3,220,136
129,15,5,0,3,0,25,12,239,168,17,8,223,136
130,15,3,0,3,0,20,5,242,168,22,4,226,136
131,15,0,2,0,3,17,9,242,170,15,17,226,139
132,15,2,0,3,0,14,7,244,170,16,9,229,139
133,15,0,0,1,1,14,7,244,170,12,4,230,140
134,15,1,1,1,1,12,14,245,171,7,8,231,141
135,16,2,1,3,0,24,16,247,172,17,12,234,141
136,16,1,3,0,3,11,18,248,175,7,16,234,144
137,16,1,0,3,0,7,11,249,175,10,6,237,144
138,16,1,0,3,0,12,5,250,175,17,13,240,144
139,16,0,0,1,1,10,12,250,175,9,14,241,145
140,16,4,0,3,0,14,10,254,175,11,4,244,145
141,16,0,3,0,3,5,15,254,178,4,8,244,148
142,16,1,2,0,3,7,11,255,180,10,11,244,151
143,16,2,1,3,0,23,6,257,181,22,1,247,151
144,17,2,1,3,0,16,8,259,182,15,4,250,151
145,17,1,1,1,1,17,11,260,183,16,5,251,152
146,17,1,0,3,0,14,6,261,183,22,8,254,152
147,17,1,2,0,3,13,16,262,185,7,12,254,155
148,17,1,1,1,1,18,10,263,186,16,9,255,156
149,17,2,1,3,0,27,13,265,187,20,4,258,156
150,17,4,0,3,0,17,7,269,187,20,3,261,156
151,17,2,2,1,1,16,9,271,189,17,18,262,157
152,17,1,1,1,1,21,6,272,190,23,10,263,158
153,18,1,0,3,0,15,6,273,190,25,18,266,158
154,18,2,0,3,0,23,6,275,190,26,9,269,158
155,18,1,1,1,1,17,9,276,191,16,17,270,159
156,18,2,0,3,0,18,9,278,191,20,4,273,159
157,18,1,1,1,1,8,12,279,192,11,5,274,160
158,18,2,1,3,0,19,8,281,193,23,8,277,160
159,18,1,0,3,0,18,11,282,193,19,10,280,160
160,18,2,0,3,0,15,16,284,193,10,3,283,160
161,18,1,2,0,3,28,15,285,195,20,8,283,163
162,19,1,1,1,1,11,13,286,196,10,14,284,164
163,19,1,0,3,0,13,5,287,196,20,6,287,164
164,19,2,2,1,1,16,12,289,198,12,13,288,165
165,19,2,0,3,0,25,6,291,198,25,4,291,165
166,19,2,4,0,3,20,14,293,202,16,11,291,168
167,19,1,1,1,1,12,19,294,203,8,13,292,169
168,19,3,2,3,0,10,13,297,205,13,11,295,169
169,19,3,1,3,0,27,17,300,206,20,14,298,169
170,19,3,1,3,0,8,16,303,207,7,1,301,169
171,20,1,4,0,3,24,10,304,211,26,20,301,172
172,20,3,3,1,1,21,14,307,214,20,12,302,173
173,20,2,1,3,0,21,9,309,215,26,18,305,173
174,20,1,1,1,1,29,16,310,216,21,5,306,174
175,20,0,0,1,1,8,12,310,216,12,4,307,175
176,20,0,2,0,3,16,14,310,218,12,8,307,178
177,20,2,1,3,0,17,17,312,219,13,10,310,178
178,20,1,1,1,1,18,10,313,220,17,10,311,179
179,20,2,0,3,0,17,6,315,220,28,8,314,179
180,21,1,1,1,1,14,6,316,221,21,15,315,180
181,21,0,1,0,3,10,14,316,222,13,11,315,183
182,21,2,1,3,0,10,17,318,223,10,6,318,183
183,21,1,2,0,3,28,19,319,225,20,16,318,186
184,21,1,1,1,1,12,14,320,226,11,5,319,187
185,21,3,2,3,0,15,21,323,228,11,1,322,187
186,21,3,3,1,1,21,12,326,231,21,14,323,188
187,21,2,1,3,0,27,7,328,232,28,14,326,188
188,21,1,2,0,3,21,16,329,234,16,14,326,191
189,22,1,1,1,1,9,13,330,235,13,9,327,192
190,22,0,0,1,1,18,10,330,235,18,15,328,193
191,22,3,2,3,0,20,19,333,237,16,10,331,193
192,22,2,1,3,0,23,10,335,238,29,5,334,193
193,22,1,0,3,0,22,14,336,238,23,20,337,193
194,22,1,2,0,3,17,16,337,240,12,13,337,196
195,22,1,3,0,3,18,9,338,243,28,11,337,199
196,22,0,2,0,3,10,16,338,245,13,15,337,202
197,22,0,0,1,1,29,16,338,245,22,19,338,203
198,23,1,0,3,0,15,6,339,245,24,16,341,203
199,23,1,0,3,0,28,7,340,245,31,4,344,203
200,23,5,1,3,0,33,20,345,246,23,1,347,203
201,23,2,1,3,0,23,13,347,247,24,15,350,203
202,23,1,3,0,3,11,20,348,250,10,17,350,206
203,23,4,1,3,0,19,22,352,251,14,14,353,206
204,23,0,0,1,1,24,10,352,251,27,7,354,207
205,23,1,1,1,1,22,17,353,252,17,6,355,208
206,23,0,0,1,1,12,14,353,252,12,12,356,209
207,24,4,3,3,0,32,10,357,255,34,13,359,209
208,24,1,1,1,1,18,17,358,256,13,16,360,210
209,24,2,4,0,3,11,17,360,260,13,8,360,213
210,24,4,4,1,1,26,18,364,264,24,16,361,214
211,24,0,1,0,3,10,17,364,265,13,12,361,217
212,24,1,0,3,0,24,10,365,265,32,20,364,217
213,24,0,3,0,3,20,22,365,268,16,22,364,220
214,24,2,0,3,0,20,9,367,268,31,10,367,220
215,24,4,0,3,0,33,16,371,268,25,15,370,220
216,25,0,1,0,3,19,23,371,269,14,9,370,223
217,25,1,1,1,1,23,18,372,270,18,13,371,224
218,25,1,0,3,0,34,20,373,270,26,4,374,224
219,25,2,2,1,1,26,12,375,272,28,2,375,225
220,25,1,0,3,0,19,10,376,272,21,7,378,225
221,25,0,2,0,3,11,22,376,274,10,19,378,228
222,25,2,0,3,0,25,13,378,274,27,17,381,228
223,25,0,3,0,3,12,17,378,277,12,14,381,231
224,25,1,2,0,3,16,8,379,279,24,17,381,234
225,26,0,2,0,3,12,19,379,281,12,16,381,237
226,26,2,1,3,0,20,18,381,282,16,10,384,237
227,26,5,1,3,0,37,11,386,283,37,22,387,237
228,26,1,0,3,0,21,9,387,283,34,16,390,237
229,26,1,3,0,3,25,13,388,286,32,19,390,240
230,26,1,2,0,3,21,24,389,288,16,18,390,243
231,26,0,0,1,1,10,17,389,288,14,9,391,244
232,26,4,1,3,0,37,17,393,289,28,2,394,244
233,26,0,2,0,3,11,19,393,291,13,23,394,247
234,27,2,1,3,0,13,23,395,292,13,12,397,247
235,27,2,0,3,0,28,18,397,292,27,17,400,247
236,27,0,3,0,3,26,15,397,295,28,12,400,250
237,27,4,0,3,0,38,20,401,295,29,13,403,250
238,27,3,1,3,0,22,11,404,296,24,19,406,250
239,27,2,0,3,0,18,8,406,296,27,4,409,250
240,27,1,2,0,3,20,25,407,298,14,17,409,253
241,27,1,0,3,0,26,13,408,298,30,17,412,253
242,27,1,1,1,1,24,19,409,299,19,8,413,254
243,28,4,0,3,0,22,8,413,299,30,10,416,254
244,28,2,1,3,0,39,12,415,300,40,23,419,254
245,28,0,1,0,3,12,20,415,301,12,25,419,257
246,28,2,2,1,1,12,19,417,303,15,17,420,258
247,28,0,2,0,3,21,26,417,305,16,22,420,261
248,28,0,3,0,3,11,22,417,308,13,21,420,264
249,28,4,1,3,0,24,19,421,309,19,9,423,264
250,28,2,1,3,0,23,10,423,310,37,2,426,264
