,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
1860 München,194,153
AC Monza,24,13
ADO Den Haag,288,308
AFC Bournemouth,176,169
AGOVV Apeldoorn,246,170
AS Gubbio 1910,23,24
AZ Alkmaar,412,227
Academico Viseu,122,80
Académica,190,191
Ajaccio,271,218
Ajax,565,126
Alavés,180,166
Albacete,183,177
AlbinoLeffe,76,90
Alcorcón,286,185
Alcoyano,25,33
Alemannia Aachen,69,80
Almere City,178,216
Almería,341,264
Amiens SC,119,109
Ancona,36,22
Angers SCO,278,203
Arles,119,117
Arminia Bielefeld,204,194
Arouca,74,85
Arsenal,464,200
Ascoli,252,250
Aston Villa,197,226
Atalanta,368,251
Athletic,347,227
Atlético,434,153
Atlético CP,88,0
Auxerre,296,224
Avellino,138,108
B. Dortmund,471,192
B. Leverkusen,386,245
B. Mönchengladbach,366,230
BV Veendam ,34,102
Barcelona,691,162
Barcelona B,208,167
Barnsley,27,20
Bastia,193,125
Bayern München,601,145
Beira Mar SC,181,310
Belenenses,308,268
Benevento,145,118
Benfica,509,124
Benfica II,464,332
Bilbao Ath.,20,22
Birmingham City,55,67
Blackburn Rovers,101,90
Blackpool,30,37
Boavista,120,119
Bologna,279,279
Bolton Wanderers,83,94
Boulogne,62,65
Bourg-Péronnas,90,89
Braunschweig,185,139
Brentford,35,19
Brescia,356,282
Brighton & Hove Albion,79,99
Bristol City,15,24
Burnley,142,161
Béziers,13,19
CA Bastia,15,29
CD Castellón,43,42
CD Guadalajara,55,58
CD Santa Clara,250,220
Caen,252,254
Cagliari,331,310
Calcio Foggia,61,53
Calcio Portogruaro-Summaga,22,28
Cambuur,173,111
Cardiff City,75,97
Carpi,145,129
Catania,174,115
Celta,345,274
Cesena,242,192
Chambly,29,47
Chateauroux,225,227
Chaves,204,232
Chelsea,481,194
Chievo,244,246
Cittadella,309,250
Clermont,287,201
Como,20,28
Cova Piedade,38,188
Coventry City,22,20
Cremonese,94,74
Creteil,70,73
Crotone,341,251
Crystal Palace,161,193
Cultural Leonesa,33,26
Cádiz,154,107
Córdoba,289,231
Darmstadt 98,163,142
De Graafschap,351,185
Den Bosch,68,102
Deportivo,294,268
Derby County,16,21
Desportivo Aves,309,291
Dijon FCO,312,249
Dordrecht,91,164
Dunkerque,16,13
Dynamo Dresden,165,157
Eibar,190,167
Eintracht Frankfurt,337,262
Elche,282,228
Emmen,179,442
Empoli,367,265
Energie Cottbus,140,110
Erzgebirge Aue,219,195
Espanyol,301,262
Estoril,325,212
Everton,371,249
Evian Thonon Gaillard,160,136
Excelsior,370,364
Extremadura,41,51
FC Augsburg,305,273
FC Cartagena,111,101
FC Eindhoven,322,216
FC St. Pauli,306,248
FC Volendam,72,106
FSV Frankfurt,151,170
Famalicão,117,47
Farense,167,40
Feirense,114,208
Feyenoord,454,177
Fiorentina,350,249
Fortuna Düsseldorf,305,246
Fortuna Sittard,149,225
Frosinone,234,214
Fuenlabrada,45,36
Fulham,176,191
Gallipoli ,22,41
Gazélec Ajaccio,135,142
Genoa,323,291
Getafe,301,226
Gil Vicente,336,225
Gimnàstic Tarragona,161,168
Girona,361,233
Girondins Bordeaux,304,219
Go Ahead Eagles,292,216
Granada,277,225
Grenoble,108,94
Greuther Fürth,298,246
Groningen,309,222
Grosseto,123,113
Guingamp,276,214
HFC Haarlem ,38,228
Hamburger SV,275,257
Hannover 96,308,268
Hansa Rostock,40,49
Heerenveen,338,287
Heidenheim,197,132
Hellas Verona,277,233
Helmond Sport,29,29
Heracles,371,284
Hertha BSC,277,275
Hoffenheim,342,276
Holstein Kiel,111,80
Huddersfield Town,53,77
Huesca,258,205
Hull City,89,109
Hércules,149,119
Ingolstadt 04,202,199
Inter,432,229
Istres,125,107
Jahn Regensburg,116,124
Jong AZ,0,0
Jong Ajax,76,136
Jong PSV,92,262
Jong Twente,114,0
Jong Utrecht,34,68
Juve Stabia,113,120
Juventus,484,164
Kaiserslautern,216,148
Karlsruher SC,201,188
Köln,299,263
Las Palmas,359,258
Latina,89,81
Lazio,407,233
Le Havre,313,198
Le Mans,107,103
Lecce,179,158
Leeds United,21,18
Leganés,167,124
Leicester,203,145
Leixões,242,79
Lens,285,221
Levante,323,269
Lille,375,185
Liverpool,474,194
Livorno,234,236
Llagostera,56,34
Lorca FC,25,28
Lorient,324,236
Lugo,239,201
Luton Town,23,22
MSV Duisburg,177,175
MVV Maastricht,170,136
Mafra,72,48
Magdeburg,16,19
Mainz 05,284,248
Mallorca,300,208
Man. City,569,176
Man. Utd,463,190
Mantova,27,20
Marítimo,248,211
Marítimo II,42,0
Metz,262,227
Middlesbrough,43,42
Milan,379,210
Millwall,19,19
Mirandés,160,141
Modena,190,140
Monaco,380,213
Montpellier,331,224
Moreirense,317,168
Málaga,309,248
NAC Breda,397,233
NEC Nijmegen,199,239
Nacional,312,233
Nancy,281,248
Nantes,270,224
Napoli,476,217
Naval,66,197
Newcastle,259,242
Nice,310,229
Niort,190,179
Nocerina,30,36
Norwich City,149,145
Nottingham Forest,19,19
Novara,200,147
Numancia,339,224
Nuova Cosenza,53,54
Nîmes,293,223
Nürnberg,268,274
Olhanense,250,222
Olympique Lyonnais,430,201
Olympique Marseille,373,213
Orléans,104,107
Osasuna,287,243
PEC Zwolle,247,217
PSG,557,153
PSV,521,157
Paderborn,263,236
Padova,153,126
Palermo FC,289,228
Paris FC,95,83
Parma,241,205
Pau FC,19,16
Paços de Ferreira,281,219
Penafiel,247,153
Perugia,160,118
Pescara,306,287
Piacenza,49,52
Pisa,56,52
Ponferradina,196,147
Pordenone,45,27
Portimonense,328,276
Porto,480,105
Porto II,130,306
Portsmouth,24,32
Preston North End,16,24
Pro Vercelli,119,122
Queens Park Rangers,88,100
Quevilly,23,33
R. Sociedad,377,240
RB Leipzig,226,116
RKC Waalwijk,123,139
RM Castilla,85,53
Racing,121,152
Rayo Majadahonda,23,23
Rayo Vallecano,374,304
Reading,55,55
Real Betis,361,269
Real Jaén,27,21
Real Madrid,648,194
Real Murcia,102,99
Real Oviedo,171,112
Real Sport Clube,152,38
Real Sporting,341,238
Real Unión de Irún,25,24
Real Valladolid,333,254
Real Zaragoza,307,263
Recreativo,149,129
Red Star,60,85
Reggiana,17,21
Reggina,146,140
Reus Deportiu,46,54
Rio Ave,228,208
Roda JC,237,223
Rodez,41,34
Roma,459,228
Rot Weiss Ahlen,7,27
Rot-Weiß Oberhausen,38,45
Rotherham United,24,30
SC Freamunde,46,42
SC Freiburg,301,265
SC Telstar,136,170
SP. Covilhã,146,106
SPAL,121,129
SSC Bari,249,175
Sabadell,142,124
Saint-Étienne,321,218
Salernitana,190,164
Sampdoria,325,248
Sandhausen,171,170
Sassuolo,327,290
Schalke 04,327,237
Sedan,109,76
Sevilla,415,227
Sevilla At.,56,49
Sheffield United,34,40
Sheffield Wednesday,20,16
Siena,140,96
Sochaux,264,260
Southampton,240,214
Sparta Rotterdam,228,205
Spezia,253,185
Sporting Braga,381,173
Sporting Braga II,122,164
Sporting CP,351,136
Sporting CP II,42,84
Stade Brestois,310,210
Stade Lavallois,219,174
Stade Rennais,294,235
Stade de Reims,278,194
Stoke City,253,221
Strasbourg,165,126
Stuttgart,325,267
Sunderland,179,190
Swansea City,202,182
TOP Oss,262,203
Tenerife,255,188
Ternana Calcio,155,140
Tondela,238,220
Torino,348,264
Tottenham Hotspur,417,203
Toulouse,288,247
Tours,237,212
Trapani,155,106
Triestina ,43,41
Trofense,150,60
Troyes,280,205
TuS Koblenz,18,24
Twente 1965,343,221
UCAM Murcia,24,23
UD Logroñés,13,18
UD Oliveirense,242,210
UD Salamanca,51,58
Udinese,306,263
Union Berlin,329,205
União Madeira,193,119
União de Leiria,45,68
Utrecht,361,244
VVV Venlo,176,227
Valencia,397,229
Valenciennes,291,252
Vannes,47,50
Varese,152,108
Varzim,278,246
Venezia,93,77
VfL Bochum,311,269
VfL Osnabrück,62,75
VfR Aalen,68,54
Vicenza ,169,166
Villarreal,385,228
Villarreal B,89,83
Virtus Entella,158,130
Virtus Lanciano,102,92
Vitesse,365,231
Vitória Guimarães,263,201
Vitória Guimarães B,138,80
Vitória Setúbal,187,225
Vizela,56,28
Watford,161,146
Wehen Wiesbaden,20,38
Werder Bremen,299,307
West Bromwich Albion,211,240
West Ham,306,289
Wigan Athletic,89,124
Willem II,304,359
Wolfsburg,341,273
Wolves,134,153
Wycombe Wanderers,14,27
Würzburger Kickers,33,40
Xerez,95,117
