,Home_Goals,Away_Goals
,sum,sum
Home_Team,,
1860 München,324,242
AC Arezzo,82,54
AC Monza,24,13
ADO Den Haag,371,410
AFC Bournemouth,176,169
AGOVV Apeldoorn,360,246
AS Gubbio 1910,23,24
AZ Alkmaar,601,291
Academico Viseu,122,80
Académica,269,280
Ajaccio,387,314
Ajax,774,199
Alavés,310,285
Albacete,299,285
AlbinoLeffe,222,205
Alcorcón,286,185
Alcoyano,25,33
Alemannia Aachen,235,193
Alicante,21,38
Almere City,178,216
Almería,491,354
Alverca,34,34
Amiens SC,243,196
Ancona,71,50
Angers SCO,352,258
Arles,119,117
Arminia Bielefeld,309,298
Arouca,74,85
Arsenal,677,275
Ascoli,398,374
Aston Villa,324,320
At. Malagueño,39,51
Atalanta,504,329
Athletic,474,340
Atlético,595,253
Atlético CP,88,0
Auxerre,420,294
Avellino,217,184
B. Dortmund,600,280
B. Leverkusen,549,344
B. Mönchengladbach,488,327
BV Veendam ,72,254
Barcelona,924,227
Barcelona B,208,167
Barnsley,27,20
Bastia,329,214
Bayern München,802,218
Beira Mar SC,218,365
Belenenses,413,345
Benevento,145,118
Benfica,648,178
Benfica II,464,332
Bilbao Ath.,20,22
Birmingham City,128,125
Blackburn Rovers,232,196
Blackpool,30,37
Boavista,267,214
Bologna,405,358
Bolton Wanderers,207,184
Boulogne,110,100
Bourg-Péronnas,90,89
Braunschweig,224,171
Brentford,35,19
Brescia,479,342
Brighton & Hove Albion,103,128
Bristol City,15,24
Burnley,168,180
Béziers,13,19
CA Bastia,15,29
CD Castellón,149,104
CD Guadalajara,55,58
CD Santa Clara,314,322
Caen,384,334
Cagliari,419,378
Calcio Foggia,61,53
Calcio Portogruaro-Summaga,22,28
Cambuur,249,187
Cardiff City,99,116
Carpi,145,129
Catania,313,213
Catanzaro,45,62
Celta,471,379
Cesena,354,282
Chambly,29,47
Charlton Athletic,70,70
Chateauroux,339,302
Chaves,204,232
Chelsea,669,245
Chievo,360,326
Cittadella,331,269
Ciudad de Murcia,91,58
Clermont,384,265
Como,20,28
Cova Piedade,38,188
Coventry City,54,48
Cremonese,117,101
Creteil,154,126
Crewe Alexandra,37,38
Crotone,431,317
Crystal Palace,182,212
Cultural Leonesa,33,26
Cádiz,262,181
Córdoba,372,306
Darmstadt 98,163,142
De Graafschap,404,319
Den Bosch,195,173
Deportivo,411,376
Derby County,66,94
Desportivo Aves,409,401
Dijon FCO,429,339
Dordrecht,281,164
Dunkerque,16,13
Dynamo Dresden,221,197
Eibar,282,253
Eintracht Frankfurt,467,379
Elche,421,335
Emmen,293,518
Empoli,504,362
Energie Cottbus,252,209
Erzgebirge Aue,331,258
Espanyol,436,376
Espinho,68,102
Estoril,515,295
Estrela Amadora,70,57
Everton,515,340
Evian Thonon Gaillard,160,136
Excelsior,494,500
Extremadura,41,51
FC Augsburg,379,324
FC Carl Zeiss Jena,46,51
FC Cartagena,111,101
FC Eindhoven,322,216
FC Felgueiras,0,34
FC Gueugnon,92,71
FC Libourne Saint Seurin,50,55
FC Maia,34,68
FC Marco,34,68
FC Omniworld,152,228
FC St. Pauli,368,288
FC Volendam,327,209
FSV Frankfurt,171,188
Famalicão,117,47
Farense,167,40
Fatima,60,0
Feirense,238,276
Feyenoord,659,272
Fiorentina,500,313
Fortuna Düsseldorf,305,246
Fortuna Sittard,415,415
Frosinone,326,283
Fuenlabrada,45,36
Fulham,304,303
Gallipoli ,22,41
Gazélec Ajaccio,135,142
Genoa,469,367
Getafe,428,318
Gil Vicente,472,262
Gillingham,22,23
Gimnàstic Tarragona,300,283
Girona,385,249
Girondins Bordeaux,450,289
Go Ahead Eagles,520,254
Gondomar,226,120
Granada,277,225
Granada 74,24,22
Grenoble,232,172
Greuther Fürth,457,346
Groningen,445,314
Grosseto,196,159
Guingamp,410,290
HFC Haarlem ,380,342
Hamburger SV,407,338
Hannover 96,442,387
Hansa Rostock,158,150
Heerenveen,543,400
Heidenheim,197,132
Hellas Verona,358,298
Helmond Sport,295,257
Heracles,496,368
Hertha BSC,420,367
Hoffenheim,406,311
Holstein Kiel,111,80
Huddersfield Town,53,77
Huesca,287,223
Hull City,107,145
Hércules,280,206
Ingolstadt 04,227,223
Inter,599,291
Ipswich Town,53,26
Istres,184,167
Jahn Regensburg,116,124
Jong AZ,0,0
Jong Ajax,76,136
Jong PSV,92,262
Jong Twente,114,0
Jong Utrecht,34,68
Juve Stabia,113,120
Juventus,646,218
Kaiserslautern,352,248
Karlsruher SC,342,288
Kickers Offenbach FC,73,77
Köln,435,370
Las Palmas,443,321
Latina,89,81
Lazio,517,307
Le Havre,440,286
Le Mans,222,181
Lecce,285,241
Leeds United,49,44
Leganés,167,124
Leicester,227,165
Leixões,405,177
Lens,428,301
Levante,457,389
Lille,528,257
Liverpool,660,250
Livorno,327,315
Llagostera,56,34
Lleida,51,48
Lorca Deportiva,55,45
Lorca FC,25,28
Lorient,438,320
Lugo,239,201
Luton Town,23,22
MSV Duisburg,315,283
MVV Maastricht,322,250
Mafra,72,48
Magdeburg,16,19
Mainz 05,438,357
Mallorca,439,325
Man. City,697,264
Man. Utd,667,242
Mantova,136,88
Marítimo,351,286
Marítimo II,42,0
Messina,66,73
Metz,375,325
Middlesbrough,175,158
Milan,529,270
Millwall,52,41
Mirandés,160,141
Modena,334,229
Monaco,515,313
Montpellier,465,300
Moreirense,334,185
Málaga,436,360
NAC Breda,512,361
NEC Nijmegen,326,336
Nacional,426,314
Nancy,404,328
Nantes,384,323
Napoli,558,261
Naval,124,272
Newcastle,384,357
Nice,423,306
Niort,258,232
Nocerina,30,36
Norwich City,178,177
Nottingham Forest,45,47
Novara,200,147
Numancia,466,325
Nuova Cosenza,53,54
Nîmes,313,241
Nürnberg,402,360
Olhanense,408,316
Olympique Lyonnais,611,274
Olympique Marseille,531,304
Orléans,104,107
Osasuna,421,354
Ovarense,34,34
PEC Zwolle,285,255
PSG,690,251
PSV,742,214
Paderborn,335,294
Padova,153,126
Palermo FC,424,328
Paris FC,95,83
Parma,351,286
Pau FC,19,16
Paços de Ferreira,365,284
Penafiel,276,197
Perugia,187,133
Pescara,379,374
Piacenza,205,164
Pisa,105,92
Plymouth Argyle,31,23
Poli Ejido,103,80
Ponferradina,228,176
Pontevedra,36,28
Pordenone,45,27
Portimonense,388,456
Porto,626,148
Porto II,130,306
Portsmouth,149,140
Preston North End,60,46
Pro Vercelli,119,122
Queens Park Rangers,120,126
Quevilly,23,33
R. Sociedad,497,347
RB Leipzig,226,116
RBC Roosendaal,188,97
RKC Waalwijk,197,211
RM Castilla,146,104
RW Essen,46,44
Racing,241,266
Racing Ferrol,70,78
Ravenna FC,22,27
Rayo Majadahonda,23,23
Rayo Vallecano,413,325
Reading,136,115
Real Betis,484,383
Real Jaén,27,21
Real Madrid,865,292
Real Murcia,234,208
Real Oviedo,171,112
Real Sport Clube,152,38
Real Sporting,476,355
Real Unión de Irún,25,24
Real Valladolid,459,351
Real Zaragoza,483,371
Recreativo,280,234
Red Star,60,85
Reggiana,17,21
Reggina,244,233
Reus Deportiu,46,54
Rimini,119,83
Rio Ave,287,262
Roda JC,383,335
Rodez,41,34
Roma,615,304
Rot Weiss Ahlen,75,101
Rot-Weiss Erfurt,17,21
Rot-Weiß Oberhausen,76,87
Rotherham United,41,64
SC Freamunde,166,72
SC Freiburg,438,360
SC Telstar,136,170
SP. Covilhã,214,140
SPAL,121,129
SSC Bari,381,271
SV Eintracht Trier,21,21
SV Wacker Burghausen,65,71
SV Wehen Burghausen,45,45
Saarbrücken,50,49
Sabadell,142,124
Saint-Étienne,450,291
Salernitana,255,213
Sampdoria,452,335
Sandhausen,171,170
Sassuolo,358,310
Schalke 04,477,316
Sedan,241,169
Sevilla,584,314
Sevilla At.,105,109
Sheffield United,86,84
Sheffield Wednesday,20,16
Siegen Sportfreunde ,24,27
Siena,223,182
Sochaux,367,350
Southampton,270,244
Sparta Rotterdam,332,297
Spezia,308,241
Sporting Braga,491,234
Sporting Braga II,122,164
Sporting CP,507,190
Sporting CP II,42,84
Stade Brestois,430,298
Stade Lavallois,261,218
Stade Rennais,442,320
Stade de Reims,402,295
Stoke City,297,254
Strasbourg,287,211
Stuttgart,480,347
Sunderland,280,294
Swansea City,202,182
Sète,23,30
TOP Oss,528,355
Tenerife,416,302
Ternana Calcio,201,180
Terrassa FC,27,22
Tondela,238,220
Torino,463,357
Tottenham Hotspur,585,307
Toulouse,395,324
Tours,290,250
Trapani,155,106
Treviso,121,117
Triestina ,171,148
Trofense,164,81
Troyes,422,312
TuS Koblenz,92,81
Twente 1965,513,299
UCAM Murcia,24,23
UD Logroñés,13,18
UD Oliveirense,272,240
UD Salamanca,182,158
Udinese,417,353
Union Berlin,329,205
União Madeira,193,119
União de Leiria,109,137
Unterhaching,69,47
Utrecht,502,343
VVV Venlo,466,301
Valencia,573,335
Valenciennes,394,309
Vannes,67,62
Varese,152,108
Varzim,312,382
Vecindario,21,34
Venezia,116,105
VfL Bochum,449,399
VfL Osnabrück,112,115
VfR Aalen,68,54
Vicenza ,303,277
Villarreal,543,314
Villarreal B,89,83
Virtus Entella,158,130
Virtus Lanciano,102,92
Vitesse,502,343
Vitória Guimarães,395,262
Vitória Guimarães B,138,80
Vitória Setúbal,269,313
Vizela,308,58
Watford,205,196
Wehen Wiesbaden,20,38
Werder Bremen,506,399
West Bromwich Albion,275,321
West Ham,443,410
Wigan Athletic,211,230
Willem II,437,496
Wolfsburg,493,361
Wolves,174,179
Wycombe Wanderers,14,27
Würzburger Kickers,33,40
Xerez,243,212
