,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,347,254
AC Arezzo,104,62
AC Monza,27,15
ADO Den Haag,335,389
AFC Bournemouth,169,151
AGOVV Apeldoorn,330,216
AS Gubbio 1910,25,31
AZ Alkmaar,567,219
Academico Viseu,280,154
Académica,299,266
Ajaccio,494,353
Ajax,681,117
Alavés,383,305
Albacete,375,339
AlbinoLeffe,246,198
Alcorcón,386,233
Alcoyano,25,31
Alemannia Aachen,223,154
Alicante,13,43
Almere City,136,250
Almería,577,349
Alverca,34,34
Amiens SC,302,230
Ancona,75,42
Angers SCO,442,301
Arles,164,137
Arminia Bielefeld,331,313
Arouca,85,100
Arsenal,697,190
Ascoli,448,367
Aston Villa,346,361
At. Malagueño,48,66
Atalanta,541,292
Athletic,546,330
Atlético,679,214
Atlético CP,264,0
Auxerre,507,336
Avellino,266,182
B. Dortmund,578,212
B. Leverkusen,518,269
B. Mönchengladbach,507,279
BV Veendam ,38,254
Barcelona,821,95
Barcelona B,184,166
Barnsley,38,20
Bastia,396,228
Bayern München,711,105
Beira Mar SC,111,507
Belenenses,484,373
Benevento,153,105
Benfica,663,102
Benfica II,480,84
Bilbao Ath.,24,33
Birmingham City,159,150
Blackburn Rovers,259,208
Blackpool,20,32
Boavista,360,219
Bologna,456,381
Bolton Wanderers,229,187
Boulogne,138,126
Bourg-Péronnas,82,76
Braunschweig,271,184
Brentford,37,13
Brescia,542,335
Brighton & Hove Albion,116,137
Bristol City,24,36
Burnley,210,210
Béziers,18,30
CA Bastia,15,33
CD Castellón,199,133
CD Guadalajara,57,60
CD Santa Clara,506,437
Caen,488,371
Cagliari,451,376
Calcio Foggia,62,41
Calcio Portogruaro-Summaga,24,33
Cambuur,323,227
Cardiff City,100,130
Carpi,175,145
Catania,378,207
Catanzaro,43,70
Celta,512,386
Cesena,415,295
Chambly,33,54
Charlton Athletic,82,76
Chateauroux,407,332
Chaves,160,247
Chelsea,717,168
Chievo,424,388
Cittadella,358,295
Ciudad de Murcia,113,59
Clermont,483,306
Como,19,34
Cova Piedade,0,198
Coventry City,62,53
Cremonese,131,125
Creteil,172,130
Crewe Alexandra,26,35
Crotone,498,315
Crystal Palace,201,267
Cultural Leonesa,35,20
Cádiz,321,210
Córdoba,417,318
Darmstadt 98,172,142
De Graafschap,414,315
Den Bosch,199,211
Deportivo,473,371
Derby County,69,102
Desportivo Aves,541,583
Dijon FCO,512,341
Dordrecht,423,291
Dunkerque,20,20
Dynamo Dresden,232,184
Eibar,333,309
Eintracht Frankfurt,461,320
Elche,522,354
Emmen,245,464
Empoli,568,328
Energie Cottbus,261,210
Erzgebirge Aue,387,252
Espanyol,509,374
Espinho,0,102
Estoril,517,301
Estrela Amadora,101,65
Everton,571,307
Evian Thonon Gaillard,162,150
Excelsior,449,440
Extremadura,47,71
FC Augsburg,378,306
FC Carl Zeiss Jena,39,54
FC Cartagena,121,97
FC Eindhoven,326,212
FC Felgueiras,0,102
FC Gueugnon,116,89
FC Libourne Saint Seurin,49,55
FC Maia,0,102
FC Marco,0,102
FC Omniworld,38,266
FC St. Pauli,386,257
FC Volendam,211,205
FSV Frankfurt,184,184
Famalicão,153,39
Farense,325,22
Fatima,90,0
Feirense,354,324
Feyenoord,619,175
Fiorentina,550,274
Fortuna Düsseldorf,335,215
Fortuna Sittard,442,328
Frosinone,383,269
Fuenlabrada,54,42
Fulham,328,298
Gallipoli ,22,37
Gazélec Ajaccio,158,149
Genoa,500,332
Getafe,518,359
Gil Vicente,611,221
Gillingham,36,27
Gimnàstic Tarragona,355,322
Girona,452,263
Girondins Bordeaux,565,280
Go Ahead Eagles,471,306
Gondomar,234,120
Granada,336,246
Granada 74,31,22
Grenoble,288,195
Greuther Fürth,476,317
Groningen,496,286
Grosseto,199,130
Guingamp,472,316
HFC Haarlem ,418,190
Hamburger SV,451,337
Hannover 96,451,334
Hansa Rostock,163,163
Heerenveen,465,309
Heidenheim,205,115
Hellas Verona,406,283
Helmond Sport,219,219
Heracles,538,313
Hertha BSC,454,334
Hoffenheim,377,263
Holstein Kiel,104,65
Huddersfield Town,62,101
Huesca,349,250
Hull City,111,150
Hércules,302,212
Ingolstadt 04,216,243
Inter,644,191
Ipswich Town,54,12
Istres,229,178
Jahn Regensburg,112,115
Jong AZ,29,29
Jong Ajax,114,102
Jong PSV,29,131
Jong Twente,114,0
Jong Utrecht,0,102
Juve Stabia,110,110
Juventus,731,125
Kaiserslautern,381,261
Karlsruher SC,361,274
Kickers Offenbach FC,73,64
Köln,420,354
Las Palmas,508,313
Latina,118,103
Lazio,557,275
Le Havre,539,305
Le Mans,283,217
Lecce,289,229
Leeds United,52,49
Leganés,222,144
Leicester,247,172
Leixões,569,131
Lens,525,318
Levante,530,362
Lille,619,247
Liverpool,695,188
Livorno,346,346
Llagostera,69,48
Lleida,55,61
Lorca Deportiva,66,48
Lorca FC,27,30
Lorient,515,335
Lugo,294,207
Luton Town,27,24
MSV Duisburg,291,270
MVV Maastricht,288,72
Mafra,72,0
Magdeburg,16,25
Mainz 05,442,346
Mallorca,519,336
Man. City,700,211
Man. Utd,730,169
Mantova,187,91
Marítimo,433,301
Marítimo II,126,0
Messina,80,77
Metz,455,356
Middlesbrough,194,170
Milan,607,226
Millwall,69,48
Mirandés,212,164
Modena,416,254
Monaco,571,283
Montpellier,552,312
Moreirense,488,206
Málaga,500,401
NAC Breda,405,306
NEC Nijmegen,298,343
Nacional,477,312
Nancy,501,360
Nantes,484,361
Napoli,601,178
Naval,107,359
Newcastle,414,351
Nice,539,320
Niort,316,262
Nocerina,23,35
Norwich City,191,173
Nottingham Forest,56,56
Novara,232,157
Numancia,569,335
Nuova Cosenza,67,73
Nîmes,344,251
Nürnberg,421,355
Olhanense,460,286
Olympique Lyonnais,658,208
Olympique Marseille,608,257
Orléans,115,127
Osasuna,521,362
Ovarense,34,34
PEC Zwolle,293,260
PSG,673,205
PSV,711,96
Paderborn,319,271
Padova,188,134
Palermo FC,454,283
Paris FC,133,94
Parma,412,310
Pau FC,25,19
Paços de Ferreira,459,276
Penafiel,555,315
Perugia,236,146
Pescara,400,367
Piacenza,235,169
Pisa,148,109
Plymouth Argyle,35,26
Poli Ejido,132,96
Ponferradina,270,171
Pontevedra,27,27
Pordenone,56,32
Portimonense,374,458
Porto,685,88
Porto II,0,390
Portsmouth,162,150
Preston North End,69,51
Pro Vercelli,142,136
Queens Park Rangers,134,140
Quevilly,17,38
R. Sociedad,550,340
RB Leipzig,236,83
RBC Roosendaal,256,67
RKC Waalwijk,188,221
RM Castilla,135,102
RW Essen,44,44
Racing,271,310
Racing Ferrol,71,95
Ravenna FC,25,31
Rayo Majadahonda,30,27
Rayo Vallecano,420,291
Reading,164,116
Real Betis,525,363
Real Jaén,32,26
Real Madrid,778,145
Real Murcia,291,216
Real Oviedo,223,103
Real Sport Clube,114,0
Real Sporting,575,356
Real Unión de Irún,31,25
Real Valladolid,546,363
Real Zaragoza,555,369
Recreativo,339,267
Red Star,66,93
Reggiana,20,26
Reggina,276,252
Reus Deportiu,70,94
Rimini,142,82
Rio Ave,373,334
Roda JC,357,306
Rodez,45,36
Roma,649,193
Rot Weiss Ahlen,74,116
Rot-Weiss Erfurt,19,25
Rot-Weiß Oberhausen,101,89
Rotherham United,31,85
SC Freamunde,348,156
SC Freiburg,474,315
SC Telstar,68,170
SP. Covilhã,298,148
SPAL,129,123
SSC Bari,478,301
SV Eintracht Trier,27,18
SV Wacker Burghausen,62,71
SV Wehen Burghausen,42,48
Saarbrücken,47,47
Sabadell,159,111
Saint-Étienne,539,314
Salernitana,273,207
Sampdoria,483,336
Sandhausen,204,195
Sassuolo,384,294
Schalke 04,520,280
Sedan,282,171
Sevilla,657,240
Sevilla At.,108,111
Sheffield United,104,110
Sheffield Wednesday,27,27
Siegen Sportfreunde ,20,26
Siena,267,207
Sochaux,464,392
Southampton,259,244
Sparta Rotterdam,338,248
Spezia,355,238
Sporting Braga,566,194
Sporting Braga II,80,206
Sporting CP,608,149
Sporting CP II,46,172
Stade Brestois,526,325
Stade Lavallois,283,220
Stade Rennais,534,324
Stade de Reims,481,316
Stoke City,363,276
Strasbourg,331,214
Stuttgart,490,310
Sunderland,297,336
Swansea City,228,189
Sète,19,31
TOP Oss,443,368
Tenerife,527,302
Ternana Calcio,238,208
Terrassa FC,35,26
Tondela,296,200
Torino,535,355
Tottenham Hotspur,638,251
Toulouse,473,371
Tours,321,249
Trapani,173,101
Treviso,137,143
Triestina ,217,178
Trofense,206,128
Troyes,507,312
TuS Koblenz,103,76
Twente 1965,498,234
UCAM Murcia,27,30
UD Logroñés,21,24
UD Oliveirense,484,202
UD Salamanca,185,158
Udinese,471,357
Union Berlin,369,174
União Madeira,240,21
União de Leiria,132,165
Unterhaching,84,60
Utrecht,507,267
VVV Venlo,436,274
Valencia,613,262
Valenciennes,460,331
Vannes,84,66
Varese,173,110
Varzim,252,486
Vecindario,25,34
Venezia,145,115
VfL Bochum,423,351
VfL Osnabrück,106,115
VfR Aalen,70,67
Vicenza ,366,336
Villarreal,614,269
Villarreal B,95,77
Virtus Entella,183,141
Virtus Lanciano,126,93
Vitesse,479,290
Vitória Guimarães,509,278
Vitória Guimarães B,180,282
Vitória Setúbal,331,367
Vizela,276,0
Watford,226,202
Wehen Wiesbaden,16,31
Werder Bremen,453,336
West Bromwich Albion,279,336
West Ham,458,386
Wigan Athletic,233,242
Willem II,347,425
Wolfsburg,471,303
Wolves,183,177
Wycombe Wanderers,20,38
Würzburger Kickers,34,46
Xerez,293,218
