,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
0,1,4,0,3,0,4,0,4,0,3,0,3,0
1,1,2,1,3,0,2,1,6,1,3,0,6,0
2,1,6,0,3,0,6,0,12,1,3,0,9,0
3,1,2,0,3,0,2,0,14,1,3,0,12,0
4,1,0,1,0,3,0,1,14,2,0,3,12,3
5,1,0,4,0,3,0,4,14,6,0,3,12,6
6,1,0,3,0,3,0,3,14,9,0,3,12,9
7,1,1,2,0,3,1,2,15,11,0,3,12,12
8,1,2,3,0,3,2,3,17,14,0,3,12,15
9,2,4,0,3,0,8,0,21,14,6,0,15,15
10,2,2,1,3,0,4,2,23,15,6,0,18,15
11,2,6,0,3,0,12,0,29,15,6,0,21,15
12,2,2,0,3,0,4,0,31,15,6,0,24,15
13,2,0,1,0,3,0,2,31,16,0,6,24,18
14,2,0,4,0,3,0,8,31,20,0,6,24,21
15,2,0,3,0,3,0,6,31,23,0,6,24,24
16,2,1,2,0,3,2,4,32,25,0,6,24,27
17,2,2,3,0,3,4,6,34,28,0,6,24,30
18,3,4,0,3,0,12,0,38,28,9,0,27,30
19,3,2,1,3,0,6,3,40,29,9,0,30,30
20,3,6,0,3,0,18,0,46,29,9,0,33,30
21,3,2,0,3,0,6,0,48,29,9,0,36,30
22,3,0,1,0,3,0,3,48,30,0,9,36,33
23,3,0,4,0,3,0,12,48,34,0,9,36,36
24,3,0,3,0,3,0,9,48,37,0,9,36,39
25,3,1,2,0,3,3,6,49,39,0,9,36,42
26,3,2,3,0,3,6,9,51,42,0,9,36,45
27,4,4,0,3,0,16,0,55,42,12,0,39,45
28,4,2,1,3,0,8,4,57,43,12,0,42,45
29,4,6,0,3,0,24,0,63,43,12,0,45,45
30,4,2,0,3,0,8,0,65,43,12,0,48,45
31,4,0,1,0,3,0,4,65,44,0,12,48,48
32,4,0,4,0,3,0,16,65,48,0,12,48,51
33,4,0,3,0,3,0,12,65,51,0,12,48,54
34,4,1,2,0,3,4,8,66,53,0,12,48,57
35,4,2,3,0,3,8,12,68,56,0,12,48,60
36,5,4,0,3,0,20,0,72,56,15,0,51,60
37,5,2,1,3,0,10,5,74,57,15,0,54,60
38,5,6,0,3,0,30,0,80,57,15,0,57,60
39,5,2,0,3,0,10,0,82,57,15,0,60,60
40,5,0,1,0,3,0,5,82,58,0,15,60,63
41,5,0,4,0,3,0,20,82,62,0,15,60,66
42,5,0,3,0,3,0,15,82,65,0,15,60,69
43,5,1,2,0,3,5,10,83,67,0,15,60,72
44,5,2,3,0,3,10,15,85,70,0,15,60,75
45,6,4,0,3,0,24,0,89,70,18,0,63,75
46,6,2,1,3,0,12,6,91,71,18,0,66,75
47,6,6,0,3,0,36,0,97,71,18,0,69,75
48,6,2,0,3,0,12,0,99,71,18,0,72,75
49,6,0,1,0,3,0,6,99,72,0,18,72,78
50,6,0,4,0,3,0,24,99,76,0,18,72,81
51,6,0,3,0,3,0,18,99,79,0,18,72,84
52,6,1,2,0,3,6,12,100,81,0,18,72,87
53,6,2,3,0,3,12,18,102,84,0,18,72,90
54,7,4,0,3,0,28,0,106,84,21,0,75,90
55,7,2,1,3,0,14,7,108,85,21,0,78,90
56,7,6,0,3,0,42,0,114,85,21,0,81,90
57,7,2,0,3,0,14,0,116,85,21,0,84,90
58,7,0,1,0,3,0,7,116,86,0,21,84,93
59,7,0,4,0,3,0,28,116,90,0,21,84,96
60,7,0,3,0,3,0,21,116,93,0,21,84,99
61,7,1,2,0,3,7,14,117,95,0,21,84,102
62,7,2,3,0,3,14,21,119,98,0,21,84,105
63,8,4,0,3,0,32,0,123,98,24,0,87,105
64,8,2,1,3,0,16,8,125,99,24,0,90,105
65,8,6,0,3,0,48,0,131,99,24,0,93,105
66,8,2,0,3,0,16,0,133,99,24,0,96,105
67,8,0,1,0,3,0,8,133,100,0,24,96,108
68,8,0,4,0,3,0,32,133,104,0,24,96,111
69,8,0,3,0,3,0,24,133,107,0,24,96,114
70,8,1,2,0,3,8,16,134,109,0,24,96,117
71,8,2,3,0,3,16,24,136,112,0,24,96,120
72,9,4,0,3,0,36,0,140,112,27,0,99,120
73,9,2,1,3,0,18,9,142,113,27,0,102,120
74,9,6,0,3,0,54,0,148,113,27,0,105,120
75,9,2,0,3,0,18,0,150,113,27,0,108,120
76,9,0,1,0,3,0,9,150,114,0,27,108,123
77,9,0,4,0,3,0,36,150,118,0,27,108,126
78,9,0,3,0,3,0,27,150,121,0,27,108,129
79,9,1,2,0,3,9,18,151,123,0,27,108,132
80,9,2,3,0,3,18,27,153,126,0,27,108,135
81,10,4,0,3,0,40,0,157,126,30,0,111,135
82,10,2,1,3,0,20,10,159,127,30,0,114,135
83,10,6,0,3,0,60,0,165,127,30,0,117,135
84,10,2,0,3,0,20,0,167,127,30,0,120,135
85,10,0,1,0,3,0,10,167,128,0,30,120,138
86,10,0,4,0,3,0,40,167,132,0,30,120,141
87,10,0,3,0,3,0,30,167,135,0,30,120,144
88,10,1,2,0,3,10,20,168,137,0,30,120,147
89,10,2,3,0,3,20,30,170,140,0,30,120,150
90,11,4,0,3,0,44,0,174,140,33,0,123,150
91,11,2,1,3,0,22,11,176,141,33,0,126,150
92,11,6,0,3,0,66,0,182,141,33,0,129,150
93,11,2,0,3,0,22,0,184,141,33,0,132,150
94,11,0,1,0,3,0,11,184,142,0,33,132,153
95,11,0,4,0,3,0,44,184,146,0,33,132,156
96,11,0,3,0,3,0,33,184,149,0,33,132,159
97,11,1,2,0,3,11,22,185,151,0,33,132,162
98,11,2,3,0,3,22,33,187,154,0,33,132,165
99,12,4,0,3,0,48,0,191,154,36,0,135,165
100,12,2,1,3,0,24,12,193,155,36,0,138,165
101,12,6,0,3,0,72,0,199,155,36,0,141,165
102,12,2,0,3,0,24,0,201,155,36,0,144,165
103,12,0,1,0,3,0,12,201,156,0,36,144,168
104,12,0,4,0,3,0,48,201,160,0,36,144,171
105,12,0,3,0,3,0,36,201,163,0,36,144,174
106,12,1,2,0,3,12,24,202,165,0,36,144,177
107,12,2,3,0,3,24,36,204,168,0,36,144,180
108,13,4,0,3,0,52,0,208,168,39,0,147,180
109,13,2,1,3,0,26,13,210,169,39,0,150,180
110,13,6,0,3,0,78,0,216,169,39,0,153,180
111,13,2,0,3,0,26,0,218,169,39,0,156,180
112,13,0,1,0,3,0,13,218,170,0,39,156,183
113,13,0,4,0,3,0,52,218,174,0,39,156,186
114,13,0,3,0,3,0,39,218,177,0,39,156,189
115,13,1,2,0,3,13,26,219,179,0,39,156,192
116,13,2,3,0,3,26,39,221,182,0,39,156,195
117,14,4,0,3,0,56,0,225,182,42,0,159,195
118,14,2,1,3,0,28,14,227,183,42,0,162,195
119,14,6,0,3,0,84,0,233,183,42,0,165,195
120,14,2,0,3,0,28,0,235,183,42,0,168,195
121,14,0,1,0,3,0,14,235,184,0,42,168,198
122,14,0,4,0,3,0,56,235,188,0,42,168,201
123,14,0,3,0,3,0,42,235,191,0,42,168,204
124,14,1,2,0,3,14,28,236,193,0,42,168,207
125,14,2,3,0,3,28,42,238,196,0,42,168,210
126,15,4,0,3,0,60,0,242,196,45,0,171,210
127,15,2,1,3,0,30,15,244,197,45,0,174,210
128,15,6,0,3,0,90,0,250,197,45,0,177,210
129,15,2,0,3,0,30,0,252,197,45,0,180,210
130,15,0,1,0,3,0,15,252,198,0,45,180,213
131,15,0,4,0,3,0,60,252,202,0,45,180,216
132,15,0,3,0,3,0,45,252,205,0,45,180,219
133,15,1,2,0,3,15,30,253,207,0,45,180,222
134,15,2,3,0,3,30,45,255,210,0,45,180,225
135,16,4,0,3,0,64,0,259,210,48,0,183,225
136,16,2,1,3,0,32,16,261,211,48,0,186,225
137,16,6,0,3,0,96,0,267,211,48,0,189,225
138,16,2,0,3,0,32,0,269,211,48,0,192,225
139,16,0,1,0,3,0,16,269,212,0,48,192,228
140,16,0,4,0,3,0,64,269,216,0,48,192,231
141,16,0,3,0,3,0,48,269,219,0,48,192,234
142,16,1,2,0,3,16,32,270,221,0,48,192,237
143,16,2,3,0,3,32,48,272,224,0,48,192,240
144,17,4,0,3,0,68,0,276,224,51,0,195,240
145,17,2,1,3,0,34,17,278,225,51,0,198,240
146,17,6,0,3,0,102,0,284,225,51,0,201,240
