,Home_Points,Away_Points
,sum,sum
Home_Team,,
ADO Den Haag,431,476
AZ Alkmaar,747,372
Ajax,1322,209
Cambuur,142,184
De Graafschap,327,411
Den Bosch,96,135
Dordrecht,64,121
Emmen,59,62
Excelsior,182,287
FC Volendam,267,243
Feyenoord,1180,325
Fortuna Sittard,305,320
Go Ahead Eagles,129,201
Groningen,827,545
HFC Haarlem ,12,36
Heerenveen,834,501
Heracles,424,313
MVV Maastricht,204,207
NAC Breda,562,505
NEC Nijmegen,569,551
PEC Zwolle,259,235
PSV,1346,188
RBC Roosendaal,80,155
RKC Waalwijk,569,530
Roda JC,814,496
SVV,26,20
Sparta Rotterdam,513,498
Twente 1965,972,456
Utrecht,928,532
VVV Venlo,198,300
Vitesse,953,506
Willem II,763,640
