,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
0,1,0,1,0,3,0,1,0,1,0,3,0,3
1,1,3,0,3,0,3,0,3,1,3,0,3,3
2,1,2,1,3,0,2,1,5,2,3,0,6,3
3,1,1,2,0,3,1,2,6,4,0,3,6,6
4,1,1,0,3,0,1,0,7,4,3,0,9,6
5,1,3,0,3,0,3,0,10,4,3,0,12,6
6,1,1,1,1,1,1,1,11,5,1,1,13,7
7,1,1,2,0,3,1,2,12,7,0,3,13,10
8,1,0,0,1,1,0,0,12,7,1,1,14,11
9,1,1,0,3,0,1,0,13,7,3,0,17,11
10,2,3,2,3,0,3,2,16,9,3,0,20,11
11,2,2,1,3,0,2,1,18,10,3,0,23,11
12,2,1,2,0,3,1,2,19,12,0,3,23,14
13,2,1,0,3,0,1,0,20,12,3,0,26,14
14,2,2,2,1,1,2,2,22,14,1,1,27,15
15,2,0,0,1,1,0,0,22,14,1,1,28,16
16,2,1,1,1,1,1,1,23,15,1,1,29,17
17,2,1,0,3,0,1,0,24,15,3,0,32,17
18,2,2,0,3,0,2,0,26,15,3,0,35,17
19,2,3,2,3,0,3,2,29,17,3,0,38,17
20,3,2,1,3,0,4,2,31,18,6,0,41,17
21,3,0,3,0,3,3,3,31,21,3,6,41,20
22,3,6,1,3,0,7,3,37,22,3,1,44,20
23,3,0,0,1,1,1,2,37,22,1,1,45,21
24,3,1,3,0,3,2,4,38,25,1,3,45,24
25,3,1,1,1,1,2,3,39,26,1,4,46,25
26,3,1,0,3,0,2,0,40,26,6,0,49,25
27,3,2,0,3,0,2,0,42,26,4,1,52,25
28,3,1,1,1,1,4,1,43,27,4,1,53,26
29,3,0,0,1,1,1,0,43,27,4,4,54,27
30,4,2,2,1,1,2,3,45,29,1,1,55,28
31,4,3,2,3,0,5,3,48,31,6,0,58,28
32,4,1,0,3,0,3,2,49,31,4,1,61,28
33,4,1,0,3,0,4,2,50,31,6,1,64,28
34,4,2,1,3,0,4,5,52,32,4,0,67,28
35,4,1,1,1,1,2,1,53,33,4,4,68,29
