,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
0,1,0,0,1,1,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,2
2,1,3,1,3,0,3,1,4,2,3,0,5,2
3,1,2,2,1,1,2,2,6,4,1,1,6,3
4,1,0,2,0,3,0,2,6,6,0,3,6,6
5,1,3,0,3,0,3,0,9,6,3,0,9,6
6,1,1,0,3,0,1,0,10,6,3,0,12,6
7,1,0,0,1,1,0,0,10,6,1,1,13,7
8,1,2,1,3,0,2,1,12,7,3,0,16,7
9,1,5,2,3,0,5,2,17,9,3,0,19,7
10,1,1,0,3,0,1,0,18,9,3,0,22,7
11,2,2,1,3,0,2,1,20,10,3,0,25,7
12,2,1,1,1,1,1,1,21,11,1,1,26,8
13,2,1,2,0,3,1,2,22,13,0,3,26,11
14,2,1,1,1,1,1,1,23,14,1,1,27,12
15,2,1,2,0,3,1,2,24,16,0,3,27,15
16,2,1,1,1,1,1,1,25,17,1,1,28,16
17,2,1,2,0,3,1,2,26,19,0,3,28,19
18,2,0,0,1,1,0,0,26,19,1,1,29,20
19,2,2,2,1,1,2,2,28,21,1,1,30,21
20,2,2,2,1,1,2,2,30,23,1,1,31,22
21,2,1,1,1,1,1,1,31,24,1,1,32,23
22,3,0,2,0,3,0,2,31,26,1,3,32,26
23,3,1,1,1,1,3,3,32,27,2,1,33,27
24,3,0,3,0,3,1,4,32,30,1,3,33,30
25,3,1,1,1,1,4,2,33,31,4,4,34,31
26,3,0,1,0,3,1,1,33,32,3,4,34,34
27,3,2,0,3,0,3,1,35,32,4,1,37,34
28,3,3,2,3,0,8,4,38,34,6,1,40,34
29,3,3,1,3,0,3,1,41,35,4,0,43,34
30,3,2,2,1,1,5,2,43,37,4,1,44,35
31,3,1,0,3,0,3,1,44,37,6,1,47,35
32,3,0,3,0,3,0,5,44,40,0,4,47,38
33,4,2,1,3,0,3,3,46,41,3,3,50,38
34,4,4,0,3,0,6,2,50,41,4,1,53,38
35,4,3,2,3,0,4,3,53,43,4,1,56,38
36,4,1,0,3,0,2,1,54,43,4,1,59,38
37,4,1,0,3,0,3,1,55,43,6,1,62,38
38,4,1,0,3,0,1,0,56,43,4,1,65,38
39,4,0,2,0,3,1,3,56,45,1,6,65,41
40,4,2,2,1,1,3,4,58,47,1,1,66,42
41,4,0,0,1,1,2,2,58,47,2,1,67,43
42,4,1,0,3,0,2,2,59,47,3,3,70,43
43,4,1,2,0,3,2,2,60,49,3,4,70,46
44,5,0,0,1,1,1,4,60,49,2,5,71,47
45,5,1,0,3,0,1,2,61,49,4,4,74,47
46,5,3,1,3,0,6,2,64,50,7,4,77,47
47,5,0,1,0,3,5,3,64,51,4,4,77,50
48,5,1,1,1,1,4,2,65,52,5,2,78,51
49,5,1,1,1,1,9,5,66,53,7,2,79,52
